output[1] 쟁반 line=54166
state: 그릇=0, 냄비=15, 단지=60, 숟가락=464, 웍=0, 쟁반=643017, 접시=0, 칼=0, 컵=0, 후라이팬=12
현재 68000행 실행 중 (src 30165): 그릇=2, 냄비=0, 단지=24, 숟가락=263696, 웍=0, 쟁반=21, 접시=6, 칼=6243, 컵=3, 후라이팬=0
현재 69000행 실행 중 (src 31674): 그릇=30, 냄비=26, 단지=0, 숟가락=23029, 웍=1011, 쟁반=49, 접시=0, 칼=3, 컵=614018, 후라이팬=0
현재 70000행 실행 중 (src 28572): 그릇=29, 냄비=33, 단지=90, 숟가락=0, 웍=0, 쟁반=0, 접시=0, 칼=5332, 컵=24, 후라이팬=12
현재 71000행 실행 중 (src 30137): 그릇=0, 냄비=0, 단지=10, 숟가락=0, 웍=12, 쟁반=0, 접시=0, 칼=6231, 컵=6, 후라이팬=263690
현재 72000행 실행 중 (src 31638): 그릇=18, 냄비=26, 단지=0, 숟가락=3, 웍=0, 쟁반=544, 접시=1008, 칼=0, 컵=614018, 후라이팬=22473
현재 73000행 실행 중 (src 5308): 그릇=0, 냄비=15, 단지=4, 숟가락=13, 웍=15, 쟁반=23, 접시=0, 칼=0, 컵=3489997878, 후라이팬=0
현재 74000행 실행 중 (src 6825): 그릇=162, 냄비=14, 단지=0, 숟가락=19, 웍=1899936, 쟁반=0, 접시=46, 칼=0, 컵=3, 후라이팬=6
현재 75000행 실행 중 (src 8357): 그릇=129, 냄비=0, 단지=19224, 숟가락=0, 웍=0, 쟁반=12, 접시=47, 칼=19, 컵=0, 후라이팬=0
현재 76000행 실행 중 (src 42226): 그릇=0, 냄비=154, 단지=0, 숟가락=2, 웍=10089628, 쟁반=9, 접시=0, 칼=6, 컵=0, 후라이팬=10
현재 77000행 실행 중 (src 43759): 그릇=2, 냄비=0, 단지=0, 숟가락=0, 웍=15, 쟁반=2, 접시=30, 칼=0, 컵=4, 후라이팬=10273
현재 78000행 실행 중 (src 45304): 그릇=0, 냄비=47084, 단지=4, 숟가락=14, 웍=45582, 쟁반=0, 접시=30, 칼=6, 컵=0, 후라이팬=3
현재 79000행 실행 중 (src 42164): 그릇=0, 냄비=129, 단지=2, 숟가락=0, 웍=4, 쟁반=0, 접시=8, 칼=5, 컵=403740, 후라이팬=183
현재 80000행 실행 중 (src 43689): 그릇=6618, 냄비=0, 단지=0, 숟가락=0, 웍=0, 쟁반=0, 접시=47, 칼=0, 컵=282, 후라이팬=12
현재 81000행 실행 중 (src 45234): 그릇=6, 냄비=3, 단지=0, 숟가락=0, 웍=4299, 쟁반=1357, 접시=2256, 칼=18, 컵=61, 후라이팬=0
현재 82000행 실행 중 (src 42088): 그릇=403680, 냄비=0, 단지=0, 숟가락=2, 웍=162, 쟁반=0, 접시=12, 칼=0, 컵=0, 후라이팬=360
현재 83000행 실행 중 (src 43630): 그릇=28, 냄비=24, 단지=0, 숟가락=0, 웍=6608, 쟁반=0, 접시=10, 칼=3, 컵=54, 후라이팬=0
현재 84000행 실행 중 (src 45167): 그릇=0, 냄비=0, 단지=0, 숟가락=0, 웍=10748, 쟁반=1353, 접시=40, 칼=0, 컵=0, 후라이팬=47
현재 85000행 실행 중 (src 5102): 그릇=7913280, 냄비=1, 단지=4290, 숟가락=0, 웍=0, 쟁반=24, 접시=0, 칼=84, 컵=0, 후라이팬=75
현재 86000행 실행 중 (src 6591): 그릇=0, 냄비=424, 단지=0, 숟가락=0, 웍=8, 쟁반=6, 접시=0, 칼=0, 컵=26193, 후라이팬=26
현재 87000행 실행 중 (src 8121): 그릇=1, 냄비=85918, 단지=52, 숟가락=0, 웍=19, 쟁반=3, 접시=0, 칼=17, 컵=0, 후라이팬=6
현재 88000행 실행 중 (src 5056): 그릇=522978720, 냄비=45, 단지=1, 숟가락=1428, 웍=6, 쟁반=0, 접시=0, 칼=0, 컵=0, 후라이팬=1
현재 89000행 실행 중 (src 6539): 그릇=0, 냄비=53, 단지=926, 숟가락=3174766, 웍=0, 쟁반=4, 접시=12, 칼=11, 컵=4, 후라이팬=14
현재 90000행 실행 중 (src 8079): 그릇=0, 냄비=156, 단지=4, 숟가락=981041, 웍=12, 쟁반=0, 접시=2, 칼=42, 컵=0, 후라이팬=0
현재 91000행 실행 중 (src 41931): 그릇=0, 냄비=0, 단지=3508746, 숟가락=0, 웍=0, 쟁반=12, 접시=8, 칼=54, 컵=0, 후라이팬=34
현재 92000행 실행 중 (src 43474): 그릇=0, 냄비=3, 단지=49, 숟가락=9, 웍=46, 쟁반=0, 접시=0, 칼=14, 컵=943, 후라이팬=9038
현재 93000행 실행 중 (src 45011): 그릇=0, 냄비=2671, 단지=0, 숟가락=5, 웍=3487, 쟁반=11, 접시=6, 칼=21, 컵=0, 후라이팬=0
현재 94000행 실행 중 (src 41864): 그릇=0, 냄비=0, 단지=27, 숟가락=0, 웍=0, 쟁반=66432, 접시=328, 칼=17123, 컵=0, 후라이팬=0
현재 95000행 실행 중 (src 43392): 그릇=0, 냄비=3, 단지=24, 숟가락=175, 웍=229, 쟁반=25, 접시=0, 칼=40, 컵=0, 후라이팬=288
현재 96000행 실행 중 (src 44946): 그릇=6, 냄비=3, 단지=169, 숟가락=16, 웍=14, 쟁반=0, 접시=0, 칼=2210, 컵=126, 후라이팬=414
현재 97000행 실행 중 (src 41793): 그릇=0, 냄비=19, 단지=10, 숟가락=0, 웍=0, 쟁반=648, 접시=29, 칼=17113, 컵=0, 후라이팬=0
현재 98000행 실행 중 (src 43328): 그릇=0, 냄비=0, 단지=280, 숟가락=5, 웍=0, 쟁반=10, 접시=0, 칼=22, 컵=31205, 후라이팬=0
현재 99000행 실행 중 (src 44887): 그릇=6, 냄비=0, 단지=2209, 숟가락=3, 웍=0, 쟁반=12, 접시=387, 칼=0, 컵=0, 후라이팬=0
현재 100000행 실행 중 (src 41725): 그릇=105, 냄비=0, 단지=0, 숟가락=0, 웍=42, 쟁반=0, 접시=3, 칼=2850, 컵=0, 후라이팬=0
현재 101000행 실행 중 (src 43264): 그릇=0, 냄비=0, 단지=39, 숟가락=12, 웍=123256, 쟁반=0, 접시=37, 칼=17, 컵=0, 후라이팬=0
현재 102000행 실행 중 (src 44825): 그릇=6, 냄비=3, 단지=125, 숟가락=0, 웍=0, 쟁반=335, 접시=21, 칼=2169, 컵=1, 후라이팬=0
현재 103000행 실행 중 (src 23409): 그릇=31, 냄비=0, 단지=0, 숟가락=41, 웍=32, 쟁반=3, 접시=0, 칼=1, 컵=0, 후라이팬=0
현재 104000행 실행 중 (src 24905): 그릇=312, 냄비=1086, 단지=14, 숟가락=0, 웍=64, 쟁반=1755, 접시=0, 칼=0, 컵=11088, 후라이팬=21
현재 105000행 실행 중 (src 26409): 그릇=30, 냄비=819, 단지=22, 숟가락=0, 웍=0, 쟁반=0, 접시=0, 칼=155, 컵=31, 후라이팬=0
현재 106000행 실행 중 (src 18637): 그릇=0, 냄비=17, 단지=49585, 숟가락=0, 웍=0, 쟁반=0, 접시=0, 칼=361, 컵=0, 후라이팬=308
현재 107000행 실행 중 (src 20157): 그릇=0, 냄비=0, 단지=29710, 숟가락=1182, 웍=1617, 쟁반=6, 접시=0, 칼=3, 컵=5, 후라이팬=24
현재 108000행 실행 중 (src 21737): 그릇=0, 냄비=1524, 단지=17, 숟가락=40, 웍=0, 쟁반=7, 접시=380, 칼=0, 컵=19, 후라이팬=4
현재 109000행 실행 중 (src 23277): 그릇=80619, 냄비=167, 단지=37, 숟가락=0, 웍=54545, 쟁반=0, 접시=3, 칼=0, 컵=0, 후라이팬=29
현재 110000행 실행 중 (src 20080): 그릇=7, 냄비=2, 단지=0, 숟가락=1096, 웍=0, 쟁반=16, 접시=22, 칼=0, 컵=1339, 후라이팬=29665
현재 111000행 실행 중 (src 21645): 그릇=0, 냄비=105, 단지=0, 숟가락=1, 웍=0, 쟁반=1188, 접시=10, 칼=280, 컵=0, 후라이팬=80
현재 112000행 실행 중 (src 23195): 그릇=16118, 냄비=2, 단지=768, 숟가락=0, 웍=0, 쟁반=165, 접시=0, 칼=2, 컵=16, 후라이팬=0
현재 113000행 실행 중 (src 20003): 그릇=18, 냄비=1164, 단지=0, 숟가락=0, 웍=0, 쟁반=2, 접시=0, 칼=157, 컵=932652, 후라이팬=91
현재 114000행 실행 중 (src 21547): 그릇=916, 냄비=4, 단지=0, 숟가락=0, 웍=2, 쟁반=14, 접시=27, 칼=176, 컵=0, 후라이팬=0
현재 115000행 실행 중 (src 23112): 그릇=0, 냄비=159, 단지=10, 숟가락=0, 웍=26, 쟁반=16067, 접시=4, 칼=0, 컵=0, 후라이팬=116
현재 116000행 실행 중 (src 19915): 그릇=33, 냄비=29, 단지=0, 숟가락=310713, 웍=0, 쟁반=0, 접시=0, 칼=18, 컵=15, 후라이팬=1032
현재 117000행 실행 중 (src 21453): 그릇=8, 냄비=4, 단지=28, 숟가락=0, 웍=90, 쟁반=2, 접시=0, 칼=0, 컵=0, 후라이팬=25
현재 118000행 실행 중 (src 23021): 그릇=37, 냄비=0, 단지=12, 숟가락=0, 웍=11, 쟁반=16052, 접시=0, 칼=12, 컵=92, 후라이팬=3
현재 119000행 실행 중 (src 42803): 그릇=0, 냄비=89, 단지=324, 숟가락=0, 웍=0, 쟁반=14, 접시=14, 칼=287, 컵=46, 후라이팬=0
현재 120000행 실행 중 (src 44372): 그릇=2753, 냄비=0, 단지=21, 숟가락=161, 웍=65, 쟁반=0, 접시=0, 칼=10280, 컵=36, 후라이팬=0
현재 121000행 실행 중 (src 45899): 그릇=0, 냄비=3324, 단지=240, 숟가락=0, 웍=585, 쟁반=13, 접시=1684, 칼=14, 컵=0, 후라이팬=0
현재 122000행 실행 중 (src 42729): 그릇=10, 냄비=48, 단지=63, 숟가락=8, 웍=0, 쟁반=170, 접시=0, 칼=0, 컵=0, 후라이팬=5244
현재 123000행 실행 중 (src 44297): 그릇=2749, 냄비=26, 단지=132, 숟가락=0, 웍=0, 쟁반=0, 접시=10, 칼=38, 컵=24, 후라이팬=0
현재 124000행 실행 중 (src 45831): 그릇=3, 냄비=0, 단지=93, 숟가락=13, 웍=24, 쟁반=0, 접시=0, 칼=14, 컵=80462, 후라이팬=413
현재 125000행 실행 중 (src 1064): 그릇=8, 냄비=203, 단지=0, 숟가락=2, 웍=0, 쟁반=0, 접시=19, 칼=0, 컵=478, 후라이팬=90
현재 126000행 실행 중 (src 2581): 그릇=0, 냄비=22, 단지=6, 숟가락=0, 웍=4360, 쟁반=0, 접시=285, 칼=47058, 컵=4090, 후라이팬=15
현재 127000행 실행 중 (src 4122): 그릇=0, 냄비=109, 단지=135, 숟가락=118, 웍=0, 쟁반=8, 접시=1223090, 칼=10, 컵=0, 후라이팬=0
현재 128000행 실행 중 (src 958): 그릇=0, 냄비=0, 단지=209, 숟가락=7, 웍=3, 쟁반=21, 접시=6, 칼=810, 컵=0, 후라이팬=1021
현재 129000행 실행 중 (src 2490): 그릇=0, 냄비=792, 단지=209, 숟가락=71, 웍=0, 쟁반=0, 접시=0, 칼=46892, 컵=142, 후라이팬=0
현재 130000행 실행 중 (src 4029): 그릇=23, 냄비=63, 단지=0, 숟가락=0, 웍=1222836, 쟁반=3, 접시=4, 칼=0, 컵=0, 후라이팬=0
현재 131000행 실행 중 (src 24180): 그릇=0, 냄비=0, 단지=16573, 숟가락=0, 웍=6, 쟁반=0, 접시=17, 칼=8, 컵=33, 후라이팬=37
현재 132000행 실행 중 (src 25714): 그릇=0, 냄비=0, 단지=7, 숟가락=65, 웍=38, 쟁반=15, 접시=78, 칼=214, 컵=0, 후라이팬=7
현재 133000행 실행 중 (src 27220): 그릇=40, 냄비=0, 단지=0, 숟가락=0, 웍=101, 쟁반=0, 접시=39, 칼=146, 컵=17, 후라이팬=532
현재 134000행 실행 중 (src 24149): 그릇=77892, 냄비=0, 단지=0, 숟가락=0, 웍=0, 쟁반=208, 접시=3, 칼=0, 컵=19, 후라이팬=28
현재 135000행 실행 중 (src 25685): 그릇=15, 냄비=0, 단지=0, 숟가락=6, 웍=0, 쟁반=0, 접시=78, 칼=196, 컵=0, 후라이팬=18
현재 136000행 실행 중 (src 27196): 그릇=15, 냄비=0, 단지=0, 숟가락=65, 웍=43, 쟁반=528, 접시=21, 칼=75, 컵=8, 후라이팬=0
현재 137000행 실행 중 (src 24118): 그릇=599, 냄비=28, 단지=0, 숟가락=10, 웍=0, 쟁반=19, 접시=9, 칼=15446, 컵=0, 후라이팬=12
현재 138000행 실행 중 (src 25648): 그릇=15, 냄비=171, 단지=3, 숟가락=192, 웍=0, 쟁반=0, 접시=75, 칼=0, 컵=4, 후라이팬=0
현재 139000행 실행 중 (src 27162): 그릇=0, 냄비=33, 단지=0, 숟가락=18, 웍=43, 쟁반=14, 접시=8, 칼=0, 컵=0, 후라이팬=37
현재 140000행 실행 중 (src 751): 그릇=11, 냄비=2, 단지=10, 숟가락=867, 웍=120, 쟁반=5, 접시=12, 칼=9, 컵=7, 후라이팬=1
현재 141000행 실행 중 (src 2307): 그릇=11198, 냄비=66, 단지=236, 숟가락=0, 웍=0, 쟁반=0, 접시=10, 칼=0, 컵=0, 후라이팬=0
현재 142000행 실행 중 (src 3828): 그릇=6, 냄비=104, 단지=14, 숟가락=15, 웍=0, 쟁반=0, 접시=23, 칼=177, 컵=0, 후라이팬=2547442
현재 143000행 실행 중 (src 642): 그릇=0, 냄비=0, 단지=5, 숟가락=332, 웍=11, 쟁반=0, 접시=310, 칼=10, 컵=0, 후라이팬=21
현재 144000행 실행 중 (src 2200): 그릇=15, 냄비=4, 단지=0, 숟가락=0, 웍=26, 쟁반=36, 접시=0, 칼=131771, 컵=33, 후라이팬=0
현재 145000행 실행 중 (src 3736): 그릇=30569295, 냄비=2, 단지=18, 숟가락=0, 웍=8, 쟁반=5, 접시=2769, 칼=103, 컵=0, 후라이팬=0
현재 146000행 실행 중 (src 554): 그릇=0, 냄비=979, 단지=10, 숟가락=440, 웍=0, 쟁반=8, 접시=98, 칼=0, 컵=270, 후라이팬=0
현재 147000행 실행 중 (src 2108): 그릇=21, 냄비=15, 단지=97, 숟가락=1072, 웍=13785, 쟁반=29, 접시=0, 칼=396, 컵=1281609, 후라이팬=124
현재 148000행 실행 중 (src 3641): 그릇=0, 냄비=0, 단지=0, 숟가락=0, 웍=461, 쟁반=0, 접시=0, 칼=72, 컵=40, 후라이팬=764160
현재 149000행 실행 중 (src 23806): 그릇=0, 냄비=20, 단지=0, 숟가락=0, 웍=0, 쟁반=3, 접시=81, 칼=0, 컵=131, 후라이팬=63
현재 150000행 실행 중 (src 25316): 그릇=951, 냄비=3, 단지=0, 숟가락=788, 웍=0, 쟁반=6, 접시=0, 칼=17, 컵=0, 후라이팬=0
현재 151000행 실행 중 (src 26858): 그릇=560, 냄비=0, 단지=0, 숟가락=105, 웍=21, 쟁반=23, 접시=0, 칼=4, 컵=6, 후라이팬=0
현재 152000행 실행 중 (src 9775): 그릇=0, 냄비=0, 단지=0, 숟가락=9, 웍=0, 쟁반=0, 접시=632, 칼=97, 컵=11010, 후라이팬=0
현재 153000행 실행 중 (src 11260): 그릇=0, 냄비=108228491487, 단지=5, 숟가락=0, 웍=0, 쟁반=31, 접시=14057, 칼=32, 컵=0, 후라이팬=0
현재 154000행 실행 중 (src 12803): 그릇=0, 냄비=0, 단지=35, 숟가락=13, 웍=16, 쟁반=0, 접시=103899877462, 칼=24, 컵=0, 후라이팬=0
현재 155000행 실행 중 (src 9740): 그릇=16, 냄비=3, 단지=0, 숟가락=0, 웍=0, 쟁반=74809520998908, 접시=0, 칼=70, 컵=380005, 후라이팬=0
현재 156000행 실행 중 (src 11222): 그릇=9, 냄비=827333454734316219744, 단지=11, 숟가락=14040, 웍=0, 쟁반=31, 접시=0, 칼=0, 컵=6, 후라이팬=0
